game_name,appid
Hollow Knight: Silksong, 1030300
Prince of Persia: Warrior Within™,13500
BRINK: Agents of Change,22364
Monaco: What's Yours Is Mine,113020
Escape Dead Island,226560
Dungeon of the ENDLESS™,249050
METAL SLUG 3,250180
Enclave,253980
Men of War: Assault Squad 2 - Deluxe Edition upgrade,271850
Hyperdimension Neptunia Re;Birth1,282900
The Sum of All Fears,19810
Cold Fear™,15270
LEGO® Harry Potter: Years 1-4,21130
Hearts of Iron 2 Complete,22130
Osmos,29180
Comanche 4,32750
Inquisitor,241620
FORM,408520
Homesick,244910
Borderlands 2: Headhunter 4: Wedding Day Massacre,245950
Bridge Constructor,250460
Angvik,278890
Sniper Elite 3 - Camouflage Weapons Pack,305181
Chasm,312200
Dandelion - Wishes brought to you -,321290
Eradicator,329640
Controller Companion,367670
Herald: An Interactive Period Drama - Book I & II,380810
Take Command - 2nd Manassas,392330
GUILTY GEAR 2 -OVERTURE-,437000
Aselia the Eternal -The Spirit of Eternity Sword-,445420
The House in Fata Morgana Original Soundtrack,458790
Offworld Trading Company - Soundtrack DLC,462280
Luckitown,1872790
Barony,371970
Retro/Grade,222660
Dreamfall Chapters,237850
Meltdown,268220
NOT A HERO,274270
Disciples Sacred Lands Gold,281450
Tropico 6 - Spitter,1259750
Dreaming Sarah,296870
Pix the Cat,330180
Crazy Machines 3,351920
Kanji Training Game,397210
FlatOut 4: Total Insanity,402130
Osiris: New Dawn,402710
Master of Orion 1,410970
Motorsport Manager,415200
Roads of Rome,410770
Ground Control Anthology,254820
Magicians & Looters,284180
Strata,286380
Backstage Pass,288220
Metal Dead,302690
Raid Mode: Album Storage C,320388
Choice of Robots,339350
RIOT: Civil Unrest,342310
Road Scars: Origins,346500
Magicka 2: Three Cardinals Robe Pack,393831
Super Mega Baseball 2,414870
Ganbare! Super Strikers,419990
Mordheim: City of the Damned - The Smuggler,434041
Magi Trials,446600
C14 Dating,451640
Kodon,479010
The Thrill of the Fight - VR Boxing,494150
Colony Siege,1198740
Mini Ninjas,35000
Time Gentlemen Please! and Ben There Dan That! Special Edition  Double Pack,37400
ArcaniA,39690
Archon Classic,65400
Tomb Raider: Pistol Silencer,208805
THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,222420
Drox Operative,274480
Pool Nation FX Lite,314000
Windward,326410
Pixel Puzzles 2: Space,355920
METAL GEAR SOLID V: THE PHANTOM PAIN - Jumpsuit (EVA),406600
Phantasmat: The Dread of Oakville Collector's Edition,940980
DARQ: Complete Edition,433550
Homeworld: Deserts of Kharak - Soundtrack,436550
3DF Zephyr Lite Steam Edition,438450
LEGO® MARVEL's Avengers DLC - The Masters of Evil Pack,439500
Three Kingdoms 2019 阿达三国志2019 横版,910320
Enigmatis: The Ghosts of Maple Creek,284750
Darkness Within 1: In Pursuit of Loath Nolder,298930
Tex Murphy: Under a Killing Moon,302350
Buzz Aldrin's Space Program Manager,308270
Fatty Bear's Birthday Surprise,317030
Train Simulator: Semmeringbahn - Mürzzuschlag to Gloggnitz Route Add-On,325990
Invisible Inc. Contingency Plan,376980
Dungeons 2 - A Game of Winter,382400
Just Cause™ 3 - Combat Buggy,388290
Dead Secret,402260
Sepia Tears,429300
We Know the Devil,435300
Ace of Seafood,450500
The Phantom Limb Level Pack,466546
Euro Truck Simulator 2 - Dragon Truck Design Pack,558240
de Blob 2,563190
The Mooseman,574310
ACE COMBAT™ 7: SKIES UNKNOWN - F-4E Phantom II + 3 Skins,929103
Farm Together - Supporters Pack,939060
Dear Esther: Landmark Edition,520720
Demon Hunter 3: Revelation,527420
Please Don't Touch Anything 3D,529590
Vigilantes,545600
A-10C: Advanced Aircraft Training Qualification Campaign,555530
The Legend of Dark Witch 2 （魔神少女エピソード２）,555580
Rain World - Soundtrack,610070
Rytmik Studio,657280
Injustice™ 2 - Black Manta,727980
My Coloring Book: Transport,739210
Bean Battles,765410
Forest Legends: The Call of Love Collector's Edition,765770
Gravel Ice and Fire,769750
MechWarrior Online™ Solaris 7 Hero Pack,829960
Magic Realm: Online,864610
The Last Wizard,884420
Adventure Time: Magic Man's Head Games,412790
Seduce Me the Otome,367120
Ittle Dew 2+,395620
Batman™: Arkham Knight - GCPD Lockdown,401628
Camp Sunshine,457570
Trapper's Delight,467760
Street Fighter V - Capcom Pro Tour 2016 Pack,480520
RWBY: Grimm Eclipse - JNPR,522120
Halloween + Debut Costume Set,358141
Castle Must Be Mine,542770
Old Man's Journey,581270
Cosmic Express,583270
Hakuoki: Kyoto Winds,589530
Catmaze,620220
Mayhem in Single Valley,622680
King Arthur's Gold: Flags of the World Heads Pack,640900
Flash Point: Fire Rescue,654220
Surviving the Aftermath,684450
Shantae: Friends to the End,686710
BROKE PROTOCOL: Online City RPG,696370
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - Shikamaru's Tale Extra Scenario Pack,416420
Megadimension Neptunia VII,460120
The Letter - Horror Visual Novel,460430
FSX Steam Edition: McDonnell Douglas A-4 Skyhawk™ Add-On,491492
RPG in a Box,498310
Gal*Gun: Double Peace - 'Pheromone Z' Item,537770
Delicious - Emily's Hopes and Fears,550400
Macbat 64,568040
Little Nightmares The Hideaway DLC,584096
Majotori,588730
Valkyrie Hat (or 'Buy Us Coffee') DLC for Secrets of Grindea,292050
Dungeons & Dragons: Dark Alliance,623280
AMID EVIL,673130
Human-powered spacecraft,699180
Dungeons 3 - Lord of the Kings,711681
PlataGO! Super Platform Game Maker,732400
Ring of Elysium,755790
